time,fraction_defaulted
0,0.005
1,0.02361111111111111
2,0.04888888888888889
3,0.07861111111111112
4,0.11083333333333334
5,0.14027777777777778
6,0.1763888888888889
7,0.21666666666666667
8,0.2586111111111111
9,0.29888888888888887
10,0.3433333333333333
11,0.38805555555555554
12,0.43805555555555553
13,0.4872222222222222
14,0.5336111111111111
15,0.5775
16,0.6225
17,0.6658333333333334
18,0.7080555555555555
19,0.7472222222222222
20,0.7780555555555555
21,0.8063888888888889
22,0.8325
23,0.8569444444444444
24,0.8769444444444444
25,0.8980555555555556
26,0.9127777777777778
27,0.9283333333333333
28,0.9411111111111111
29,0.95
30,0.9575
31,0.9644444444444444
32,0.9708333333333333
33,0.9758333333333333
34,0.98
35,0.9838888888888889
36,0.9877777777777778
37,0.99
38,0.9922222222222222
39,0.9936111111111111
40,0.9941666666666666
41,0.995
42,0.9955555555555555
43,0.9955555555555555
44,0.9958333333333333
45,0.9969444444444444
46,0.9972222222222222
47,0.9980555555555556
48,0.9988888888888889
49,0.9991666666666666
50,0.9994444444444445
51,0.9994444444444445
52,0.9997222222222222
53,0.9997222222222222
54,0.9997222222222222
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
